Date,Code,Name,Region,Sector,Close
2026-03-25,KRX200,KOSPI200,Korea,Market,340.2
2026-03-26,KRX200,KOSPI200,Korea,Market,341.0
2026-03-27,KRX200,KOSPI200,Korea,Market,342.1
2026-03-28,KRX200,KOSPI200,Korea,Market,341.7
2026-03-29,KRX200,KOSPI200,Korea,Market,341.2
2026-03-30,KRX200,KOSPI200,Korea,Market,343.5
2026-03-31,KRX200,KOSPI200,Korea,Market,344.8
2026-04-01,KRX200,KOSPI200,Korea,Market,346.0
2026-04-02,KRX200,KOSPI200,Korea,Market,347.1
2026-04-03,KRX200,KOSPI200,Korea,Market,346.6
2026-04-04,KRX200,KOSPI200,Korea,Market,347.8
2026-04-05,KRX200,KOSPI200,Korea,Market,348.5
2026-04-06,KRX200,KOSPI200,Korea,Market,349.6
2026-04-07,KRX200,KOSPI200,Korea,Market,349.3
2026-04-08,KRX200,KOSPI200,Korea,Market,350.8
2026-04-09,KRX200,KOSPI200,Korea,Market,351.4
2026-04-10,KRX200,KOSPI200,Korea,Market,352.1
2026-04-11,KRX200,KOSPI200,Korea,Market,352.7
2026-04-12,KRX200,KOSPI200,Korea,Market,353.6
2026-04-13,KRX200,KOSPI200,Korea,Market,354.4
